timestamp,ax,ay,az,gx,gy,gz
0.0,1.572,1.533,-0.026,115.029,135.904,109.797
0.02,0.195,-0.038,1.052,5.441,-0.05,0.972
0.04,-0.047,-0.105,1.133,-5.251,-1.88,-7.085
0.06,-0.089,-0.036,0.962,-3.196,-1.45,-5.53
0.08,0.145,-0.081,0.914,-6.47,-0.525,-8.22
0.1,0.108,0.17,0.999,-8.512,4.801,-6.727
0.12,0.157,-0.181,0.932,5.024,-0.638,6.923
0.14,0.077,-0.108,1.004,5.404,-7.56,-5.982
0.16,0.115,-0.129,1.018,9.646,-4.015,6.788
0.18,0.196,-0.006,1.107,-6.217,-1.885,-1.029
0.2,0.076,0.044,1.003,-1.081,2.899,-8.616
0.22,0.005,-0.168,1.13,8.826,-9.3,-3.828
0.24,-0.068,-0.091,0.934,-9.461,-6.436,-3.485
0.26,-0.011,0.047,1.154,0.091,-9.964,0.33
0.28,-0.024,0.184,0.893,6.626,5.142,-5.777
0.3,-0.186,-0.135,0.994,3.176,8.835,-3.151
0.32,0.072,-0.156,0.829,-1.075,-8.608,3.169
0.34,-0.197,-0.188,0.976,3.214,-0.183,-6.552
0.36,-0.177,-0.16,0.92,9.427,-3.89,-9.977
0.38,0.004,0.073,1.019,4.635,-8.985,7.706
0.4,-0.133,0.143,0.925,4.77,3.167,-3.422
0.42,-0.151,0.021,0.937,-1.484,2.165,-6.269
0.44,-0.183,-0.029,0.848,8.572,-0.442,1.904
0.46,-0.18,0.098,1.193,6.405,-7.218,-5.193
0.48,0.099,-0.181,1.091,6.968,-2.478,6.837
0.5,-0.122,0.074,1.127,-5.401,4.525,-2.351
0.52,-0.016,0.11,0.881,-5.039,-9.798,-1.563
0.54,0.174,0.01,0.905,-6.484,0.001,-4.679
0.56,-0.181,0.079,0.837,0.755,-0.492,-3.915
0.58,-0.166,-0.163,0.816,9.518,-6.073,-2.396
0.6,0.146,-0.06,0.893,-2.949,9.595,-1.711
0.62,-0.145,-0.096,1.0,9.528,-6.198,-0.841
0.64,-0.13,-0.105,0.919,2.165,3.645,-5.568
0.66,0.104,-0.028,1.132,0.731,-3.619,-9.789
0.68,-0.068,-0.194,0.946,7.828,-3.794,-5.805
0.7,-0.101,-0.177,0.907,8.355,-7.757,-1.36
